raw,canonical,method,score,at
Podium,Podium,passthrough,76.9,2026-08-27T12:16:30Z
Gecko Robotics,Gecko Robotics,passthrough,43.8,2026-08-27T12:16:30Z
GoLorry,GoLorry,passthrough,40.0,2026-08-27T12:16:30Z
HistoWiz,HistoWiz,passthrough,47.1,2026-08-27T12:16:30Z
Caper,Caper,passthrough,72.7,2026-08-27T12:16:30Z
Georgette Packaging,Georgette Packaging,passthrough,46.7,2026-08-27T12:16:30Z
Kisan Network,Kisan Network,passthrough,46.2,2026-08-27T12:16:30Z
Pathmind,Pathmind,passthrough,62.5,2026-08-27T12:16:30Z
Unnyhog,Unnyhog,passthrough,54.5,2026-08-27T12:16:30Z
Sendbird,Sendbird,passthrough,46.2,2026-08-27T12:16:30Z
Relativity Space,Relativity Space,passthrough,50.0,2026-08-27T12:16:31Z
Boom,Boom,passthrough,50.0,2026-08-27T12:16:31Z
Nova,Nova,passthrough,61.5,2026-08-27T12:16:31Z
Modal,Modal,exact,100.0,2026-08-27T12:16:31Z
flexEngage,flexEngage,passthrough,50.0,2026-08-27T12:16:31Z
Qvin,Qvin,passthrough,46.2,2026-08-27T12:16:31Z
Mindori,Mindori,passthrough,58.8,2026-08-27T12:16:31Z
Vetcove,Vetcove,passthrough,53.3,2026-08-27T12:16:31Z
Selfycart,Selfycart,passthrough,55.6,2026-08-27T12:16:31Z
Joy,Joy,passthrough,46.2,2026-08-27T12:16:31Z
Upgraded,Upgraded,passthrough,46.2,2026-08-27T12:16:31Z
Rose Rocket,Rose Rocket,passthrough,47.1,2026-08-27T12:16:31Z
Farmstead,Farmstead,passthrough,52.6,2026-08-27T12:16:31Z
Sway Finance,Sway Finance,passthrough,50.0,2026-08-27T12:16:31Z
Iris Automation,Iris Automation,passthrough,51.6,2026-08-27T12:16:31Z
OneChronos,OneChronos,passthrough,57.1,2026-08-27T12:16:31Z
Haywheel,Haywheel,passthrough,58.8,2026-08-27T12:16:31Z
The Flex Company,The Flex Company,passthrough,50.0,2026-08-27T12:16:31Z
garten,garten,passthrough,54.5,2026-08-27T12:16:31Z
Mosaix.ai,Mosaix.ai,passthrough,63.2,2026-08-27T12:16:31Z
Burrow,Burrow,passthrough,50.0,2026-08-27T12:16:31Z
NeoWize,NeoWize,passthrough,53.3,2026-08-27T12:16:31Z
Airo Health,Airo Health,passthrough,55.6,2026-08-27T12:16:31Z
Synvivia,Synvivia,passthrough,58.8,2026-08-27T12:16:31Z
Meesho,Meesho,passthrough,42.9,2026-08-27T12:16:31Z
Seerslab,Seerslab,passthrough,55.6,2026-08-27T12:16:31Z
Miso,Miso,passthrough,54.5,2026-08-27T12:16:31Z
Athelas,Athelas,passthrough,50.0,2026-08-27T12:16:31Z
Curtsy,Curtsy,passthrough,66.7,2026-08-27T12:16:31Z
CrowdAI,CrowdAI,passthrough,61.5,2026-08-27T12:16:31Z
Saleswhale,Saleswhale,passthrough,60.0,2026-08-27T12:16:31Z
Polymail,Polymail,passthrough,57.1,2026-08-27T12:16:31Z
Scale AI,Scale AI,exact,100.0,2026-08-27T12:16:31Z
People.ai,People.ai,passthrough,72.7,2026-08-27T12:16:31Z
Elemeno Health,Elemeno Health,passthrough,56.0,2026-08-27T12:16:31Z
ClassDojo,ClassDojo,passthrough,42.1,2026-08-27T12:16:31Z
SkyLights,SkyLights,passthrough,48.0,2026-08-27T12:16:31Z
Voiceops,Voiceops,passthrough,53.3,2026-08-27T12:16:31Z
Trade,Trade,passthrough,60.0,2026-08-27T12:16:31Z
Speak,Speak,passthrough,57.1,2026-08-27T12:16:31Z
Bountiful,Bountiful,passthrough,40.0,2026-08-27T12:16:31Z
Cowlar,Cowlar,passthrough,53.3,2026-08-27T12:16:31Z
Scribe,Scribe,passthrough,54.5,2026-08-27T12:16:31Z
Riley,Riley,passthrough,54.5,2026-08-27T12:16:31Z
Pit.AI,Pit.AI,passthrough,63.2,2026-08-27T12:16:31Z
Shipamax,Shipamax,passthrough,47.1,2026-08-27T12:16:31Z
MDalgorithms Inc.,MDalgorithms Inc.,passthrough,57.1,2026-08-27T12:16:31Z
Tress,Tress,passthrough,46.2,2026-08-27T12:16:31Z
Entry,Entry,passthrough,46.2,2026-08-27T12:16:31Z
RankScience,RankScience,passthrough,55.6,2026-08-27T12:16:31Z
Ambient.ai,Ambient.ai,passthrough,66.7,2026-08-27T12:16:31Z
Penny,Penny,passthrough,54.5,2026-08-27T12:16:31Z
Firsthand,Firsthand,passthrough,50.0,2026-08-27T12:16:31Z
"Veryfi, Inc.","Veryfi, Inc.",passthrough,53.3,2026-08-27T12:16:31Z
Wright Electric,Wright Electric,passthrough,45.2,2026-08-27T12:16:31Z
AlemHealth,AlemHealth,passthrough,70.0,2026-08-27T12:16:31Z
Supr Daily,Supr Daily,passthrough,63.2,2026-08-27T12:16:31Z
Bulk MRO Industrial Supply,Bulk MRO Industrial Supply,passthrough,38.9,2026-08-27T12:16:31Z
Tetra,Tetra,passthrough,62.5,2026-08-27T12:16:31Z
FloydHub,FloydHub,passthrough,40.0,2026-08-27T12:16:31Z
Bulletin,Bulletin,passthrough,55.6,2026-08-27T12:16:31Z
BIOS Health,BIOS Health,passthrough,47.6,2026-08-27T12:16:31Z
NanoNets,NanoNets,passthrough,53.3,2026-08-27T12:16:31Z
Bicycle AI,Bicycle AI,passthrough,66.7,2026-08-27T12:16:31Z
UpKeep,UpKeep,passthrough,42.9,2026-08-27T12:16:31Z
SourceBeacon,SourceBeacon,passthrough,66.7,2026-08-27T12:16:31Z
Faire,Faire,passthrough,72.7,2026-08-27T12:16:31Z
Ridecell,Ridecell,passthrough,52.6,2026-08-27T12:16:31Z
Mirror AI,Mirror AI,passthrough,66.7,2026-08-27T12:16:31Z
Helix Nanotechnologies,Helix Nanotechnologies,passthrough,76.9,2026-08-27T12:16:31Z
ScopeAI,ScopeAI,passthrough,76.9,2026-08-27T12:16:31Z
Jerry,Jerry,passthrough,54.5,2026-08-27T12:16:31Z
Passerine Aircraft,Passerine Aircraft,passthrough,53.3,2026-08-27T12:16:31Z
Skyways,Skyways,passthrough,50.0,2026-08-27T12:16:31Z
Nobell Foods,Nobell Foods,passthrough,37.5,2026-08-27T12:16:31Z
VergeSense,VergeSense,passthrough,50.0,2026-08-27T12:16:31Z
AutoHub,AutoHub,passthrough,44.4,2026-08-27T12:16:31Z
